test_1/n_subgoals,policy/steps,test_0/avg_q,test_1/subgoal_succ_rate,test/episodes,train/episodes,test_1/avg_q,test/success_rate,epoch,train/success_rate
675.0,18225.0,-0.06697704990011193,0.0,25.0,0.0,-0.06689486982525644,0.0,0,nan
675.0,36450.0,-0.06698649231751194,0.0,50.0,0.0,-0.06689085674713739,0.0,1,nan
675.0,54675.0,-0.06698108352288559,0.0,75.0,0.0,-0.06688954328607996,0.0,2,nan
675.0,72900.0,-0.0669902785047272,0.0,100.0,0.0,-0.06690084667126715,0.0,3,nan
675.0,91125.0,-0.06697288320359397,0.0,125.0,0.0,-0.06689211339427352,0.0,4,nan
675.0,109350.0,-0.06698670156758424,0.0,150.0,0.0,-0.06689068827239258,0.0,5,nan
675.0,127575.0,-0.06697383090321711,0.0,175.0,0.0,-0.06688004325438296,0.0,6,nan
675.0,145800.0,-0.06698933887085966,0.0,200.0,0.0,-0.06688280137064129,0.0,7,nan
675.0,164025.0,-0.06699096957876988,0.0,225.0,0.0,-0.06690652531682487,0.0,8,nan
675.0,182250.0,-0.06698681554677462,0.0,250.0,0.0,-0.06689995042080746,0.0,9,nan
